Queens South,,
     May ,,
pbqssum,,
"",MTD   2015,YTD   2015
Backing Unsafely,4,38
Brake Lights (Defect.or Improper),134,790
"Bus Lane, Driving in",0,0
Cell Phone,669,2627
Commercial Veh on Pkwy,1,2
Defective Brakes,0,3
Disobey Steady Red Signal,290,1308
Disobey Traffic Control Device,1354,5944
Equipment (Other),13,82
Fail to Keep Right,3,4
Fail to Signal,77,460
Following Too Closely,1,7
Headlights (Defect. or Improper),57,537
Improper Lights,19,146
Improper Passing,26,106
Improper Turn,857,4000
Improper/Missing Plates,11,47
Not Giving R of W to Pedes.,191,1021
Not Giving R of W to Veh.,21,145
One Way Street,5,20
Pavement Markings,64,464
Safety Belt,1014,3672
"School Bus, Passing Stopped",12,70
Speeding,459,1594
Spillback,9,44
Tinted Windows,664,3900
Truck Routes,55,198
U-Turn,44,260
Uninspected,24,153
Uninsured,316,1627
Unlicensed Operator,585,2619
Unregistered,73,319
Unsafe Lane Change,8,42
Other Movers,563,2067
PBQS   TOTAL Movers ,7623,34316
