"Moving Violations",,
"102nd Precinct",,
"November ",,
102sum,,
"Offense Description","MTD 2015","YTD 2015"
"Backing Unsafely",0,5
"Brake Lights (Defect.or Improper)",9,75
"Bus Lane, Driving in",0,0
"Cell Phone",90,859
"Commercial Veh on Pkwy",0,1
"Defective Brakes",0,2
"Disobey Steady Red Signal",42,469
"Disobey Traffic Control Device",179,1981
"Equipment (Other)",0,9
"Fail to Keep Right",1,6
"Fail to Signal",10,146
"Following Too Closely",0,2
"Headlights (Defect. or Improper)",8,43
"Improper Lights",2,78
"Improper Passing",0,22
"Improper Turn",38,546
"Improper/Missing Plates",1,12
"Not Giving R of W to Pedes.",73,571
"Not Giving R of W to Veh.",11,65
"One Way Street",0,6
"Pavement Markings",2,11
"Safety Belt",78,1172
"School Bus, Passing Stopped",0,23
Speeding,142,588
Spillback,1,7
"Tinted Windows",52,677
"Truck Routes",2,23
U-Turn,1,3
Uninspected,1,9
Uninsured,43,369
"Unlicensed Operator",73,633
Unregistered,5,64
"Unsafe Lane Change",1,23
"Other Movers",59,611
"102TOTAL Movers ",924,9111
,,
"* All figures are preliminary and subject to change.",,
