Brooklyn South,,
Backing Unsafely,13,170
Brake Lights (Defect.or Improper),29,432
"Bus Lane, Driving in",5,65
Cell Phone,1323,11882
Commercial Veh on Pkwy,13,79
Defective Brakes,0,3
Disobey Steady Red Signal,1102,8931
Disobey Traffic Control Device,1816,19006
Equipment (Other),86,986
Fail to Keep Right,0,4
Fail to Signal,170,2198
Following Too Closely,2,26
Headlights (Defect. or Improper),43,489
Improper Lights,6,33
Improper Passing,90,656
Improper Turn,614,5949
Improper/Missing Plates,24,614
Lamps and Other Equipment on Bicycle,8,53
Not Giving R of W to Pedes.,819,7694
Not Giving R of W to Veh.,51,574
OBSTRUCTED PLATE,78,919
One Way Street,31,272
Pavement Markings,202,1685
Safety Belt,1237,13045
"School Bus, Passing Stopped",30,399
Speeding,1164,8342
Spillback,11,114
Tinted Windows,980,11626
Truck Routes,25,288
U-Turn,37,430
Uninspected,27,450
Uninsured,235,2644
Unlicensed Operator,703,7309
Unregistered,123,1252
Unsafe Lane Change,57,537
Other Movers,1211,9845
TOTAL Movers,12365,119001
